team,rank,total_points,elo
Mexico,15.0,1675.75,1835.0
South Africa,61.0,1426.73,1531.0
South Korea,22.0,1599.45,1784.0
Czech Republic,44.0,1487.0,1731.0
Canada,27.0,1559.15,1802.0
Bosnia and Herzegovina,71.0,1362.37,1571.0
Qatar,54.0,1454.96,1427.0
Switzerland,17.0,1654.69,1897.0
Brazil,5.0,1760.46,1979.0
Morocco,11.0,1716.34,1830.0
Haiti,84.0,1294.49,1542.0
Scotland,36.0,1506.77,1790.0
United States,14.0,1681.88,1747.0
Paraguay,39.0,1501.5,1833.0
Australia,26.0,1574.01,1774.0
Turkey,25.0,1582.69,1880.0
Germany,9.0,1724.15,1910.0
Curacao,82.0,1302.7,1467.0
Ivory Coast,42.0,1489.59,1607.0
Ecuador,23.0,1591.73,1933.0
Netherlands,7.0,1756.27,1959.0
Japan,18.0,1650.12,1878.0
Sweden,43.0,1487.13,1660.0
Tunisia,41.0,1494.86,1641.0
Belgium,8.0,1730.71,1849.0
Egypt,35.0,1515.18,1591.0
Iran,20.0,1617.02,1754.0
New Zealand,87.0,1279.25,1586.0
Spain,1.0,1877.18,2171.0
Cape Verde,67.0,1370.49,1560.0
Saudi Arabia,60.0,1429.48,1612.0
Uruguay,16.0,1672.62,1890.0
France,3.0,1870.0,2062.0
Senegal,19.0,1648.07,1803.0
Iraq,58.0,1436.94,1582.0
Norway,29.0,1553.14,1922.0
Argentina,2.0,1873.33,2113.0
Algeria,34.0,1517.68,1726.0
Austria,24.0,1585.51,1818.0
Jordan,64.0,1388.93,1687.0
Portugal,6.0,1760.38,1976.0
DR Congo,56.0,1444.16,1616.0
Uzbekistan,50.0,1462.03,1735.0
Colombia,13.0,1701.3,1998.0
England,4.0,1834.12,2042.0
Croatia,10.0,1716.88,1933.0
Ghana,72.0,1351.09,1509.0
Panama,30.0,1540.43,1742.0
