team,16avos,Octavos,Cuartos,Semifinal,Final,Campeon
Argentina,100.0,80.3,70.7,57.0,39.1,26.9
Spain,100.0,85.2,62.2,54.4,40.5,24.4
England,99.9,83.6,65.7,46.2,27.3,14.9
France,99.3,78.2,49.9,32.3,15.6,7.2
Colombia,99.4,74.7,42.5,19.2,10.1,4.7
Netherlands,99.8,67.3,47.8,27.9,12.3,3.2
Brazil,99.8,62.3,37.3,16.3,6.1,3.2
Croatia,98.4,52.6,23.5,14.3,6.3,2.7
Portugal,99.1,64.5,34.2,15.4,7.5,2.6
Ecuador,99.0,69.5,38.6,20.1,7.4,2.5
Switzerland,99.7,73.5,34.6,11.3,3.5,1.4
Turkey,91.1,63.9,30.1,9.7,3.9,1.2
Japan,95.2,43.6,22.6,8.6,2.6,0.9
Uruguay,95.5,22.3,13.0,6.6,2.0,0.8
Norway,93.9,54.4,26.5,12.1,4.0,0.7
Belgium,98.1,60.8,28.1,5.4,1.5,0.7
Germany,97.4,55.3,22.9,9.3,2.4,0.6
Canada,98.6,54.4,18.7,5.4,1.6,0.3
Senegal,79.0,27.6,10.0,3.3,1.3,0.3
Austria,79.3,18.6,7.5,3.3,1.0,0.2
Paraguay,83.6,52.8,19.2,4.4,1.3,0.2
Morocco,90.4,30.9,14.4,3.7,0.6,0.1
Mexico,94.3,46.8,12.1,2.8,0.8,0.1
Bosnia and Herzegovina,66.2,11.2,2.0,0.2,0.1,0.1
Panama,62.5,18.3,5.4,0.5,0.1,0.1
Egypt,34.4,6.0,1.3,0.1,0.0,0.0
Czech Republic,84.4,30.9,7.5,1.5,0.2,0.0
DR Congo,4.1,0.4,0.0,0.0,0.0,0.0
Cape Verde,21.8,2.1,0.3,0.0,0.0,0.0
Algeria,41.6,7.5,1.7,0.4,0.1,0.0
Australia,60.1,25.9,6.1,1.3,0.1,0.0
Curacao,12.5,0.8,0.1,0.0,0.0,0.0
New Zealand,49.7,11.8,1.9,0.4,0.1,0.0
Jordan,34.0,5.9,2.0,0.2,0.0,0.0
Iraq,5.8,0.8,0.2,0.0,0.0,0.0
Ghana,6.0,0.3,0.1,0.0,0.0,0.0
Haiti,7.8,0.5,0.0,0.0,0.0,0.0
Iran,86.8,33.9,8.3,1.2,0.1,0.0
Ivory Coast,52.0,10.5,2.6,0.4,0.0,0.0
Qatar,6.3,0.2,0.0,0.0,0.0,0.0
South Korea,87.8,40.1,8.9,1.6,0.0,0.0
South Africa,14.2,1.6,0.1,0.0,0.0,0.0
Scotland,77.2,22.4,8.8,1.8,0.4,0.0
Saudi Arabia,25.3,2.2,0.4,0.0,0.0,0.0
Tunisia,23.7,4.1,0.5,0.0,0.0,0.0
Sweden,38.7,6.7,1.2,0.2,0.0,0.0
United States,37.9,14.3,3.4,0.4,0.0,0.0
Uzbekistan,68.4,18.5,5.1,0.8,0.1,0.0
