team,16avos,Octavos,Cuartos,Semifinal,Final,Campeon
Spain,100.0,83.8,60.9,52.1,38.1,24.0
Argentina,100.0,79.3,69.4,51.8,35.4,22.4
England,99.9,82.9,64.9,44.8,25.4,14.8
France,99.4,77.9,50.4,31.6,15.3,7.8
Netherlands,99.6,70.8,50.7,28.2,13.0,5.7
Colombia,99.7,74.6,45.3,22.2,11.6,5.1
Ecuador,99.4,67.5,35.6,19.5,8.4,3.5
Brazil,99.6,59.6,36.2,18.1,7.2,2.8
Portugal,99.1,63.4,31.6,14.4,7.0,2.5
Croatia,97.5,54.4,25.7,14.7,6.6,2.4
Norway,93.7,53.5,26.5,11.9,4.4,1.4
Switzerland,99.8,73.9,34.1,12.3,4.5,1.4
Japan,95.5,45.2,23.4,9.1,3.1,1.0
Turkey,92.5,62.7,31.0,9.7,3.6,1.0
Uruguay,96.0,24.5,14.3,6.9,2.6,0.8
Germany,97.9,51.8,20.2,8.7,2.6,0.7
Belgium,97.7,63.2,29.1,6.9,2.6,0.7
Canada,98.7,59.3,20.7,6.1,1.8,0.5
Paraguay,83.6,48.6,18.8,4.5,1.4,0.4
Austria,81.0,19.5,8.0,3.2,1.0,0.3
Morocco,89.7,29.8,13.2,3.8,0.8,0.2
Senegal,77.9,30.6,11.3,3.4,0.8,0.2
Mexico,93.9,46.1,13.7,4.1,0.8,0.2
Australia,59.3,26.0,6.3,1.3,0.4,0.0
South Korea,86.5,35.3,8.4,2.2,0.4,0.0
Panama,63.7,18.2,5.4,1.1,0.2,0.0
Iran,87.6,38.3,9.2,1.5,0.3,0.0
Uzbekistan,67.8,19.1,4.7,1.1,0.1,0.0
Czech Republic,84.7,32.5,8.3,2.0,0.3,0.0
Bosnia and Herzegovina,64.2,11.6,1.8,0.2,0.0,0.0
Algeria,38.8,6.9,2.0,0.3,0.1,0.0
Curacao,12.2,0.9,0.1,0.0,0.0,0.0
Egypt,33.6,5.5,0.7,0.0,0.0,0.0
DR Congo,4.4,0.4,0.1,0.0,0.0,0.0
Cape Verde,21.8,2.2,0.3,0.0,0.0,0.0
Jordan,34.2,5.7,1.9,0.3,0.0,0.0
Ghana,5.5,0.4,0.0,0.0,0.0,0.0
Haiti,9.0,1.0,0.1,0.0,0.0,0.0
Iraq,6.5,1.0,0.2,0.0,0.0,0.0
Ivory Coast,51.5,9.4,1.7,0.2,0.1,0.0
New Zealand,49.6,10.4,1.5,0.0,0.0,0.0
Scotland,76.2,20.8,6.3,1.3,0.1,0.0
Qatar,6.1,0.2,0.0,0.0,0.0,0.0
Saudi Arabia,25.2,2.8,0.5,0.0,0.0,0.0
South Africa,16.1,2.0,0.2,0.0,0.0,0.0
Sweden,38.2,7.4,1.7,0.2,0.0,0.0
Tunisia,24.2,4.3,0.9,0.0,0.0,0.0
United States,40.7,14.7,2.9,0.3,0.0,0.0
