team,16avos,Octavos,Cuartos,Semifinal,Final,Campeon
Argentina,100.0,78.0,69.0,63.0,44.0,33.0
Spain,100.0,69.0,49.0,39.0,26.0,23.0
England,100.0,86.0,73.0,51.0,28.000000000000004,12.0
France,100.0,80.0,56.00000000000001,39.0,20.0,9.0
Netherlands,99.0,75.0,52.0,28.000000000000004,12.0,4.0
Turkey,89.0,64.0,31.0,12.0,6.0,4.0
Croatia,100.0,61.0,31.0,14.000000000000002,7.000000000000001,2.0
Colombia,98.0,68.0,43.0,16.0,6.0,2.0
Switzerland,100.0,75.0,38.0,15.0,4.0,2.0
Uruguay,97.0,34.0,25.0,14.000000000000002,9.0,2.0
Portugal,98.0,55.00000000000001,27.0,13.0,8.0,2.0
Austria,68.0,17.0,8.0,4.0,2.0,1.0
Brazil,100.0,63.0,35.0,15.0,4.0,1.0
Ecuador,100.0,70.0,32.0,21.0,8.0,1.0
Japan,95.0,46.0,20.0,7.000000000000001,3.0,1.0
Paraguay,85.0,47.0,24.0,5.0,3.0,1.0
Egypt,27.0,4.0,0.0,0.0,0.0,0.0
DR Congo,4.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,91.0,36.0,7.000000000000001,1.0,0.0,0.0
Curacao,9.0,2.0,0.0,0.0,0.0,0.0
Cape Verde,19.0,1.0,0.0,0.0,0.0,0.0
Belgium,95.0,63.0,23.0,5.0,2.0,0.0
Bosnia and Herzegovina,68.0,12.0,1.0,0.0,0.0,0.0
Canada,100.0,56.99999999999999,19.0,2.0,1.0,0.0
Algeria,41.0,8.0,2.0,0.0,0.0,0.0
Australia,57.99999999999999,23.0,7.000000000000001,0.0,0.0,0.0
Ivory Coast,50.0,6.0,2.0,1.0,1.0,0.0
Iraq,7.000000000000001,0.0,0.0,0.0,0.0,0.0
Haiti,10.0,2.0,0.0,0.0,0.0,0.0
Iran,88.0,43.0,9.0,1.0,0.0,0.0
Germany,96.0,48.0,24.0,13.0,1.0,0.0
Ghana,6.0,0.0,0.0,0.0,0.0,0.0
Panama,63.0,16.0,4.0,0.0,0.0,0.0
Norway,95.0,56.99999999999999,26.0,8.0,0.0,0.0
New Zealand,68.0,22.0,3.0,0.0,0.0,0.0
Morocco,89.0,24.0,12.0,2.0,0.0,0.0
Jordan,43.0,10.0,3.0,1.0,0.0,0.0
Mexico,89.0,52.0,11.0,3.0,2.0,0.0
Qatar,2.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,21.0,0.0,0.0,0.0,0.0,0.0
South Korea,89.0,40.0,11.0,2.0,1.0,0.0
South Africa,17.0,2.0,0.0,0.0,0.0,0.0
Senegal,73.0,28.000000000000004,9.0,3.0,1.0,0.0
Scotland,82.0,15.0,5.0,0.0,0.0,0.0
Tunisia,31.0,3.0,0.0,0.0,0.0,0.0
Sweden,33.0,9.0,0.0,0.0,0.0,0.0
United States,41.0,15.0,6.0,1.0,0.0,0.0
Uzbekistan,66.0,14.000000000000002,3.0,1.0,1.0,0.0
