team,16avos,Octavos,Cuartos,Semifinal,Final,Campeon
Spain,100.0,87.2,62.3,53.5,38.6,22.7
Argentina,100.0,78.4,69.0,52.3,36.0,21.9
England,100.0,83.3,65.2,45.2,24.4,14.4
France,99.6,75.9,48.2,30.7,16.1,8.2
Netherlands,99.7,71.4,53.4,28.7,13.7,5.8
Colombia,99.8,76.4,46.6,24.6,13.2,5.7
Ecuador,99.4,68.6,35.3,20.6,8.3,3.3
Brazil,99.5,59.1,33.6,15.3,5.9,3.2
Portugal,99.2,61.4,31.8,13.7,6.7,2.7
Croatia,98.2,56.2,27.1,15.6,6.9,2.6
Turkey,91.6,64.3,32.6,9.1,4.5,1.6
Germany,98.1,52.8,24.2,10.4,3.5,1.3
Norway,92.6,50.9,25.8,11.5,3.7,1.2
Switzerland,99.7,75.9,34.0,10.6,3.9,1.1
Uruguay,96.4,24.3,12.8,5.2,2.1,0.9
Belgium,98.0,63.1,27.5,6.5,2.2,0.8
Austria,80.7,16.4,7.2,2.7,1.1,0.6
Canada,98.6,59.9,20.9,6.9,1.3,0.6
Paraguay,82.6,49.0,18.4,5.3,2.2,0.6
Japan,95.2,47.6,22.5,9.2,2.2,0.5
Tunisia,25.6,4.2,0.9,0.2,0.1,0.1
Senegal,76.3,30.0,11.3,3.2,0.7,0.1
Mexico,93.5,45.7,12.5,3.4,0.7,0.1
Bosnia and Herzegovina,64.4,12.7,1.3,0.0,0.0,0.0
Egypt,34.2,5.8,0.4,0.0,0.0,0.0
DR Congo,4.2,0.5,0.2,0.0,0.0,0.0
Czech Republic,85.6,32.3,8.3,2.0,0.1,0.0
Curacao,12.5,0.9,0.0,0.0,0.0,0.0
Cape Verde,22.6,2.0,0.2,0.1,0.0,0.0
Algeria,41.0,5.9,1.7,0.4,0.0,0.0
Australia,60.7,28.3,7.9,1.1,0.1,0.0
Ghana,5.6,0.5,0.3,0.0,0.0,0.0
Panama,64.4,18.9,5.9,1.2,0.2,0.0
New Zealand,48.7,10.3,1.3,0.2,0.0,0.0
Jordan,32.7,6.3,2.1,0.4,0.1,0.0
Morocco,91.8,26.7,11.1,4.0,0.7,0.0
Haiti,7.8,0.9,0.0,0.0,0.0,0.0
Iran,87.2,36.7,10.1,2.6,0.6,0.0
Iraq,6.6,0.7,0.0,0.0,0.0,0.0
Ivory Coast,51.2,8.8,1.4,0.1,0.0,0.0
South Korea,86.8,34.8,7.8,1.3,0.0,0.0
South Africa,15.9,1.9,0.1,0.0,0.0,0.0
Scotland,76.7,20.6,7.3,0.8,0.2,0.0
Saudi Arabia,25.2,3.6,0.8,0.0,0.0,0.0
Qatar,6.0,0.3,0.0,0.0,0.0,0.0
Sweden,37.0,7.2,2.0,0.2,0.0,0.0
United States,41.3,15.3,2.3,0.3,0.0,0.0
Uzbekistan,65.6,16.1,4.4,0.9,0.0,0.0
